orderid,customerid,productid,orderdate,quantity,orderamt,salesrep
16165,QS2174,BC111d,2021-12-01,3584,226795.52,Zuri
16166,SB1511,A802a,2021-12-01,228,2318.76,Harry
16167,TM3521,W8931,2021-12-01,6279,283936.38,Zuri
16168,SS3300,BC111d,2021-12-01,5927,375060.56,Ravi
16169,QS2917,JQ9322,2021-12-01,2219,55452.81,Zuri
16170,CD7311,JQ9322,2021-12-02,5485,137070.15,Leslie
16171,AM4609,A802a,2021-12-02,5787,58853.79,Ravi
16172,NV2970,BC111d,2021-12-02,551,34867.28,Róisín
16173,OM8279,W8931,2021-12-02,421,19037.62,Ravi
16174,QS2174,A802a,2021-12-02,101,1027.17,Leslie
16175,OI7366,W8931,2021-12-02,349,15781.78,Róisín
16176,OI5050,Q28R3,2021-12-02,4041,712549.53,Leslie
16177,OI5050,A802a,2021-12-02,571,5807.07,Leslie
16178,DS7471,Q28R3,2021-12-02,482,84991.06,Zuri
16179,AI3651,A802a,2021-12-02,4813,48948.21,Róisín
16180,TF4085,A802a,2021-12-02,371,3773.07,Róisín
16181,OS6792,BC111d,2021-12-02,4887,309249.36,Ravi
16182,AD1457,BC111d,2021-12-03,37,2341.36,Róisín
16183,SB9448,BC111d,2021-12-03,2611,165224.08,Leslie
16184,TS4266,Q28R3,2021-12-03,3645,642722.85,Leslie
16185,OI7366,BC111d,2021-12-03,4608,291594.24,Ravi
16186,QS2174,R9S10,2021-12-03,61,2673.63,Leslie
16187,QS2174,A802a,2021-12-03,152,1545.84,Róisín
16188,MD4706,R9S10,2021-12-03,2591,113563.53,Zuri
16189,SI4896,A802a,2021-12-03,3144,31974.48,Ravi
16190,MD4706,BC111d,2021-12-06,17,1075.76,Róisín
16191,SB9448,BC111d,2021-12-06,72,4556.16,Liam
16192,QS2174,A802a,2021-12-06,35,355.95,Leslie
16193,OS4150,BC111d,2021-12-06,268,16959.04,Róisín
16194,TS4266,BC111d,2021-12-06,267,16895.76,Leslie
16195,AD1457,A802a,2021-12-06,599,6091.83,Ravi
16196,OS4150,BC111d,2021-12-06,6451,408219.28,Róisín
16197,OS9656,W8931,2021-12-07,204,9224.88,Ravi
16198,SC8893,W8931,2021-12-07,293,13249.46,Zuri
16199,CI2071,W8931,2021-12-07,4857,219633.54,Harry
16200,MM9297,Q28R3,2021-12-07,387,68239.71,Zuri
16201,TS4266,W8931,2021-12-07,4388,198425.36,Liam
16202,OS6792,BC111d,2021-12-07,3501,221543.28,Ravi
16203,SS3300,A802a,2021-12-07,449,4566.33,Ravi
16204,AM4609,JQ9322,2021-12-07,297,7422.03,Leslie
16205,OM8279,W8931,2021-12-07,123,5562.06,Zuri
16206,OS4150,A802a,2021-12-07,449,4566.33,Ravi
16207,AM4609,A802a,2021-12-08,5612,57074.04,Leslie
16208,OF1425,A802a,2021-12-08,209,2125.53,Ravi
16209,SC9489,BC111d,2021-12-08,6244,395120.32,Róisín
16210,MD4706,W8931,2021-12-08,643,29076.46,Ravi
16211,AR4667,W8931,2021-12-08,3765,170253.3,Harry
16212,AH4803,W8931,2021-12-08,184,8320.48,Ravi
16213,SC9489,Q28R3,2021-12-09,499,87988.67,Leslie
16214,OI5050,A802a,2021-12-09,256,2603.52,Leslie
16215,SB1511,A802a,2021-12-09,647,6579.99,Zuri
16216,SB9448,BC111d,2021-12-09,433,27400.24,Leslie
16217,MC7659,W8931,2021-12-09,153,6918.66,Róisín
16218,QS2917,JQ9322,2021-12-10,92,2299.08,Róisín
16219,AM4609,W8931,2021-12-10,6242,282263.24,Harry
16220,QS2174,R9S10,2021-12-10,10,438.3,Róisín
16221,AD1457,A802a,2021-12-10,301,3061.17,Ravi
16222,OM8279,A802a,2021-12-10,4653,47321.01,Róisín
16223,SV2319,R9S10,2021-12-10,245,10738.35,Ravi
16224,DS7471,W8931,2021-12-10,367,16595.74,Harry
16225,SC8893,W8931,2021-12-10,40,1808.8,Ravi
16226,TS4266,JQ9322,2021-12-10,347,8671.53,Zuri
16227,AM4609,W8931,2021-12-13,540,24418.8,Zuri
16228,TS4266,A802a,2021-12-13,6754,68688.18,Róisín
16229,AI3651,BC111d,2021-12-13,4695,297099.6,Zuri
16230,AH4803,Q28R3,2021-12-13,332,58541.56,Róisín
16231,CE4482,W8931,2021-12-13,3314,149859.08,Róisín
16232,SS3300,A802a,2021-12-13,6602,67142.34,Ravi
16233,MC7659,BC111d,2021-12-13,6209,392905.52,Róisín
16234,OI5050,W8931,2021-12-14,9,406.98,Leslie
16235,OS8224,BC111d,2021-12-14,2530,160098.4,Ravi
16236,MD4706,A802a,2021-12-14,586,5959.62,Liam
16237,QS2917,A802a,2021-12-14,193,1962.81,Leslie
16238,NS7598,A802a,2021-12-14,5555,56494.35,Leslie
16239,AI3651,A802a,2021-12-14,2931,29808.27,Leslie
16240,TM3521,BC111d,2021-12-14,167,10567.76,Róisín
16241,OI7366,W8931,2021-12-15,73,3301.06,Ravi
16242,NS7598,A802a,2021-12-15,28,284.76,Liam
16243,OS9656,A802a,2021-12-15,139,1413.63,Róisín
16244,MC7659,W8931,2021-12-15,35,1582.7,Róisín
16245,MM9297,BC111d,2021-12-15,369,23350.32,Zuri
16246,OI5050,W8931,2021-12-15,285,12887.7,Róisín
16247,OF1425,JQ9322,2021-12-15,182,4548.18,Leslie
16248,OI7366,W8931,2021-12-15,264,11938.08,Ravi
16249,AH4803,A802a,2021-12-15,5766,58640.22,Ravi
16250,MC7659,JQ9322,2021-12-15,2765,69097.35,Harry
16251,DS7471,W8931,2021-12-15,237,10717.14,Zuri
16252,MD4706,A802a,2021-12-16,377,3834.09,Leslie
16253,OS8224,JQ9322,2021-12-16,93,2324.07,Harry
16254,QS2174,A802a,2021-12-16,3054,31059.18,Ravi
16255,QE1185,JQ9322,2021-12-16,4403,110030.97,Ravi
16256,AD1457,BC111d,2021-12-16,5255,332536.4,Ravi
16257,TM3521,BC111d,2021-12-16,910,57584.8,Róisín
16258,OS6792,BC111d,2021-12-16,248,15693.44,Harry
16259,OS8224,BC111d,2021-12-16,3060,193636.8,Ravi
16260,OM8279,BC111d,2021-12-16,5985,378730.8,Liam
16261,CE4482,A802a,2021-12-17,1959,19923.03,Harry
16262,OS6792,A802a,2021-12-17,378,3844.26,Róisín
16263,OS8224,W8931,2021-12-17,524,23695.28,Róisín
16264,TF4085,BC111d,2021-12-17,356,22527.68,Ravi
16265,MD4706,W8931,2021-12-17,5450,246449.0,Zuri
16266,AI3651,BC111d,2021-12-17,188,11896.64,Liam
16267,AD1457,A802a,2021-12-17,3406,34639.02,Róisín
16268,NS7598,A802a,2021-12-18,3508,35676.36,Leslie
16269,NS7598,JQ9322,2021-12-19,3755,93837.45,Ravi
16270,SV2319,A802a,2021-12-20,777,7902.09,Róisín
16271,SC9489,W8931,2021-12-20,4996,225919.12,Ravi
16272,TM3521,Q28R3,2021-12-20,176,31034.08,Leslie
16273,SB9448,A802a,2021-12-20,591,6010.47,Ravi
16274,SC8893,A802a,2021-12-21,240,2440.8,Ravi
16275,TS4266,Q28R3,2021-12-21,2564,452110.12,Róisín
16276,CD7311,JQ9322,2021-12-21,3026,75619.74,Ravi
16277,OM8279,W8931,2021-12-21,3983,180111.26,Leslie
16278,OS4150,A802a,2021-12-22,495,5034.15,Róisín
16279,MC7659,JQ9322,2021-12-22,409,10220.91,Ravi
16280,OS6792,A802a,2021-12-22,212,2156.04,Róisín
16281,TM3521,W8931,2021-12-22,3671,166002.62,Ravi
16282,AM4609,BC111d,2021-12-22,432,27336.96,Róisín
16283,TS4266,A802a,2021-12-22,197,2003.49,Leslie
16284,OI5050,BC111d,2021-12-22,4133,261536.24,Liam
16285,MD4706,A802a,2021-12-22,675,6864.75,Zuri
16286,SS3300,W8931,2021-12-23,435,19670.7,Ravi
16287,MC7659,Q28R3,2021-12-23,1454,256383.82,Ravi
16288,MD4706,W8931,2021-12-23,4788,216513.36,Ravi
16289,AM4609,JQ9322,2021-12-24,229,5722.71,Liam
16290,CI2071,BC111d,2021-12-24,3214,203381.92,Zuri
16291,AM4609,JQ9322,2021-12-24,279,6972.21,Zuri
16292,OI5050,A802a,2021-12-24,4005,40730.85,Leslie
16293,OS4150,W8931,2021-12-24,657,29709.54,Róisín
16294,OI7366,A802a,2021-12-28,3743,38066.31,Róisín
16295,NS7598,A802a,2021-12-28,2050,20848.5,Leslie
16296,AH4803,BC111d,2021-12-28,5024,317918.72,Róisín
16297,CI2071,JQ9322,2021-12-28,423,10570.77,Zuri
16298,TS4266,A802a,2021-12-28,185,1881.45,Liam
16299,OS6792,A802a,2021-12-29,632,6427.44,Róisín
16300,CI2071,BC111d,2021-12-29,314,19869.92,Zuri
16301,OI5050,BC111d,2021-12-29,153,9681.84,Liam
16302,OI7366,A802a,2021-12-29,42,427.14,Harry
16303,NS7598,A802a,2021-12-29,263,2674.71,Róisín
16304,TS4266,JQ9322,2021-12-29,5953,148765.47,Zuri
16305,SS3300,A802a,2021-12-30,511,5196.87,Róisín
16306,OI7366,A802a,2021-12-30,5880,59799.6,Róisín
16307,OF1425,A802a,2021-12-30,3794,38584.98,Zuri
16308,TS4266,W8931,2021-12-30,1312,59328.64,Liam
16309,TS4266,W8931,2021-12-30,69,3120.18,Liam
16310,SS3300,A802a,2021-12-31,518,5268.06,Róisín
16311,AM4609,A802a,2021-12-31,7342,74668.14,Leslie
16312,QS2174,JQ9322,2021-12-31,326,8146.74,Leslie
16313,OM8279,A802a,2021-12-31,492,5003.64,Liam
16314,QE1185,W8931,2021-12-31,526,23785.72,Ravi
16315,QS2174,Q28R3,2021-12-31,204,35971.32,Róisín
16316,AM4609,W8931,2021-12-31,6586,297818.92,Róisín
16317,AD1457,BC111d,2021-12-31,385,24362.8,Ravi
16318,SS3300,BC111d,2021-12-31,4413,279254.64,Ravi
16319,MC7659,BC111d,2021-12-31,253,16009.84,Ravi
16320,SV2319,A802a,2022-01-02,41,416.97,Róisín
16321,AI3651,A802a,2022-01-02,5924,60247.08,Zuri
16322,SS3300,A802a,2022-01-04,434,4413.78,Róisín
16323,TM3521,W8931,2022-01-04,356,16098.32,Leslie
16324,SC9489,Q28R3,2022-01-04,8472,1493867.76,Róisín
16325,OI7366,BC111d,2022-01-04,595,37651.6,Róisín
16326,TM4374,BC111d,2022-01-04,5857,370630.96,Ravi
16327,CD7311,BC111d,2022-01-04,556,35183.68,Harry
16328,OM8279,BC111d,2022-01-05,5906,373731.68,Ravi
16329,SC9489,BC111d,2022-01-05,7883,498836.24,Ravi
16330,MD4706,A802a,2022-01-05,157,1596.69,Harry
16331,NS7598,W8931,2022-01-05,4448,201138.56,Leslie
16332,OS4150,W8931,2022-01-05,2377,107487.94,Harry
16333,AM4609,A802a,2022-01-05,286,2908.62,Leslie
16334,TM4374,BC111d,2022-01-05,587,37145.36,Róisín
16335,MC7659,BC111d,2022-01-05,7653,484281.84,Leslie
16336,OS9656,A802a,2022-01-05,5762,58599.54,Ravi
16337,AM4609,EE05x,2022-01-06,172,62439.44,Leslie
16338,QE1185,BC111d,2022-01-06,211,13352.08,Ravi
16339,OI7366,A802a,2022-01-06,386,3925.62,Róisín
16340,OM8279,BC111d,2022-01-06,674,42650.72,Róisín
16341,TM4374,A802a,2022-01-07,354,3600.18,Róisín
16342,CE4482,A802a,2022-01-07,1405,14288.85,Harry
16343,TF4085,W8931,2022-01-07,8956,404990.32,Ravi
16344,TM4374,BC111d,2022-01-07,5632,356392.96,Ravi
16345,SS3300,W8931,2022-01-07,7284,329382.48,Ravi
16346,OS9656,JQ9322,2022-01-08,436,10895.64,Róisín
16347,AM4609,JQ9322,2022-01-10,3740,93462.6,Liam
16348,AH4803,A802a,2022-01-10,6032,61345.44,Leslie
16349,QS2174,A802a,2022-01-10,10132,103042.44,Liam
16350,CD7311,A802a,2022-01-10,127,1291.59,Harry
16351,SC8893,BC111d,2022-01-10,6523,412775.44,Ravi
16352,OS8224,A802a,2022-01-11,9566,97286.22,Ravi
16353,OS6792,A802a,2022-01-11,234,2379.78,Liam
16354,SS3300,W8931,2022-01-11,505,22836.1,Róisín
16355,OM8279,EE05x,2022-01-11,234,84946.68,Leslie
16356,NS7598,A802a,2022-01-11,8209,83485.53,Ravi
16357,SC9489,A802a,2022-01-11,188,1911.96,Ravi
16358,SB0048,EE05x,2022-01-11,644,233784.88,Zuri
16359,MD4706,A802a,2022-01-11,9665,98293.05,Zuri
16360,SS3300,BC111d,2022-01-11,6377,403536.56,Ravi
16361,NS7598,BC111d,2022-01-12,259,16389.52,Leslie
16362,QS2917,A802a,2022-01-12,8057,81939.69,Harry
16363,TF6550,A802a,2022-01-12,397,4037.49,Róisín
16364,TM3521,A802a,2022-01-12,5800,58986.0,Liam
16365,AH4803,W8931,2022-01-12,192,8682.24,Ravi
16366,MC7659,W8931,2022-01-12,750,33915.0,Leslie
16367,TF4085,W8931,2022-01-13,214,9677.08,Róisín
16368,OI7366,JQ9322,2022-01-13,5734,143292.66,Róisín
16369,AI3651,A802a,2022-01-13,371,3773.07,Róisín
16370,OF1425,W8931,2022-01-13,753,34050.66,Leslie
16371,QS2917,BC111d,2022-01-13,5182,327916.96,Róisín
16372,OS9656,A802a,2022-01-13,66,671.22,Róisín
16373,TS4266,BC111d,2022-01-13,228,14427.84,Róisín
16374,OI7366,A802a,2022-01-13,9352,95109.84,Ravi
16375,OS9656,A802a,2022-01-14,396,4027.32,Ravi
16376,TM3521,JQ9322,2022-01-14,6406,160085.94,Leslie
16377,OI7366,A802a,2022-01-14,5981,60826.77,Róisín
16378,MD4706,A802a,2022-01-14,6588,66999.96,Zuri
16379,TS4266,BC111d,2022-01-14,496,31386.88,Zuri
16380,OS9656,Q28R3,2022-01-14,203,35794.99,Ravi
16381,MC7659,A802a,2022-01-14,100,1017.0,Róisín
16382,TS4266,A802a,2022-01-17,503,5115.51,Zuri
16383,OS8224,W8931,2022-01-17,3615,163470.3,Róisín
16384,OS8224,A802a,2022-01-17,6057,61599.69,Ravi
16385,TM4374,R9S10,2022-01-17,4047,177380.01,Zuri
16386,AI0569,W8931,2022-01-18,520,23514.4,Zuri
16387,TF6550,A802a,2022-01-18,7934,80688.78,Róisín
16388,OF1425,Q28R3,2022-01-18,8737,1540595.21,Róisín
16389,OM8279,BC111d,2022-01-18,3299,208760.72,Róisín
16390,OS4150,A802a,2022-01-18,7019,71383.23,Leslie
16391,SC9489,W8931,2022-01-19,6424,290493.28,Harry
16392,TS4266,W8931,2022-01-19,4910,222030.2,Róisín
16393,OI5050,A802a,2022-01-19,5754,58518.18,Liam
16394,SC9489,R9S10,2022-01-19,6665,292126.95,Róisín
16395,AM4609,A802a,2022-01-19,688,6996.96,Leslie
16396,SC9489,W8931,2022-01-20,8068,364834.96,Ravi
16397,AS7990,BC111d,2022-01-20,486,30754.08,Róisín
16398,AH4803,Q28R3,2022-01-20,7961,1403763.13,Harry
16399,OI7366,A802a,2022-01-20,6181,62860.77,Ravi
16400,AH4803,JQ9322,2022-01-20,349,8721.51,Róisín
16401,OI7366,A802a,2022-01-20,668,6793.56,Róisín
16402,OS4150,Q28R3,2022-01-21,229,40379.57,Leslie
16403,OS9656,JQ9322,2022-01-21,3514,87814.86,Ravi
16404,AD1457,BC111d,2022-01-21,5601,354431.28,Liam
16405,CD7311,JQ9322,2022-01-21,544,13594.56,Ravi
16406,AD1457,A802a,2022-01-21,206,2095.02,Ravi
16407,SB9448,W8931,2022-01-21,6560,296643.2,Róisín
16408,AM4609,W8931,2022-01-22,180,8139.6,Leslie
16409,SV2319,BC111d,2022-01-22,169,10694.32,Róisín
16410,CD7311,R9S10,2022-01-22,6125,268458.75,Ravi
16411,OS9656,R9S10,2022-01-24,6860,300673.8,Leslie
16412,AH4803,A802a,2022-01-24,9496,96574.32,Róisín
16413,MM9297,A802a,2022-01-24,5062,51480.54,Zuri
16414,TM3521,W8931,2022-01-24,72,3255.84,Róisín
16415,MC7659,Q28R3,2022-01-24,5481,966464.73,Ravi
16416,CD7311,A802a,2022-01-24,4409,44839.53,Róisín
16417,QS2174,A802a,2022-01-24,721,7332.57,Liam
16418,TF6550,A802a,2022-01-25,774,7871.58,Ravi
16419,OM8279,A802a,2022-01-25,5893,59931.81,Leslie
16420,NS7598,JQ9322,2022-01-25,9019,225384.81,Leslie
16421,TS4266,BC111d,2022-01-25,5169,327094.32,Leslie
16422,CE4482,A802a,2022-01-25,7244,73671.48,Liam
16423,SC9489,A802a,2022-01-25,3458,35167.86,Ravi
16424,TS4266,A802a,2022-01-25,518,5268.06,Ravi
16425,MC7659,A802a,2022-01-27,355,3610.35,Harry
16426,AI3651,A802a,2022-01-27,5633,57287.61,Liam
16427,AH4803,W8931,2022-01-27,7603,343807.66,Ravi
16428,AI3651,W8931,2022-01-27,241,10898.02,Zuri
16429,AM4609,A802a,2022-01-27,389,3956.13,Leslie
16430,SC8893,W8931,2022-01-27,3702,167404.44,Ravi
16431,CD7311,R9S10,2022-01-28,8538,374220.54,Ravi
16432,NS7598,BC111d,2022-01-28,7001,443023.28,Leslie
16433,SS3300,BC111d,2022-01-31,581,36765.68,Ravi
16434,SC9489,W8931,2022-01-31,316,14289.52,Ravi
16435,SC8893,W8931,2022-01-31,7792,352354.24,Zuri
16436,OS8224,A802a,2022-02-01,236,2400.12,Ravi
16437,QS2917,A802a,2022-02-01,507,5156.19,Zuri
16438,OM8279,W8931,2022-02-01,2766,125078.52,Róisín
16439,TF4085,W8931,2022-02-01,259,11711.98,Ravi
16440,AM4609,BC111d,2022-02-01,316,19996.48,Ravi
16441,CI2071,A802a,2022-02-01,5998,60999.66,Ravi
16442,MD4706,A802a,2022-02-02,4259,43314.03,Zuri
16443,TF4085,R9S10,2022-02-02,4840,212137.2,Ravi
16444,AR4667,A802a,2022-02-02,4018,40863.06,Róisín
16445,OS9656,W8931,2022-02-02,5734,259291.48,Ravi
16446,AD1457,W8931,2022-02-03,458,20710.76,Ravi
16447,MC7659,W8931,2022-02-03,6779,306546.38,Ravi
16448,OF1425,BC111d,2022-02-03,5461,345572.08,Liam
16449,SB1511,W8931,2022-02-03,3297,149090.34,Róisín
16450,MD4706,BC111d,2022-02-03,554,35057.12,Harry
16451,OM8279,A802a,2022-02-03,6726,68403.42,Róisín
16452,QS2917,A802a,2022-02-04,3584,36449.28,Leslie
16453,TS4266,BC111d,2022-02-04,5814,367909.92,Róisín
16454,OS4150,A802a,2022-02-04,6436,65454.12,Róisín
16455,AM4609,Q28R3,2022-02-04,140,24686.2,Ravi
16456,TM4374,A802a,2022-02-04,693,7047.81,Ravi
16457,AH4803,W8931,2022-02-04,2592,117210.24,Ravi
16458,TF4085,W8931,2022-02-04,485,21931.7,Ravi
16459,OM8279,W8931,2022-02-04,635,28714.7,Róisín
16460,NS7598,A802a,2022-02-04,5723,58202.91,Zuri
16461,OM8279,BC111d,2022-02-06,9100,575848.0,Leslie
16462,AH4803,W8931,2022-02-07,232,10491.04,Ravi
16463,AH4803,W8931,2022-02-07,5341,241520.02,Róisín
16464,OS9656,BC111d,2022-02-07,285,18034.8,Ravi
16465,SC8893,BC111d,2022-02-07,2853,180537.84,Róisín
16466,MC7659,JQ9322,2022-02-07,126,3148.74,Róisín
16467,CE4482,W8931,2022-02-07,5842,264175.24,Ravi
16468,OI7366,Q28R3,2022-02-07,3295,581007.35,Ravi
16469,TM3521,BC111d,2022-02-07,2829,179019.12,Leslie
16470,OI7366,W8931,2022-02-08,169,7642.18,Ravi
16471,OI7366,A802a,2022-02-08,3691,37537.47,Ravi
16472,MD4706,A802a,2022-02-08,7717,78481.89,Zuri
16473,QS2917,W8931,2022-02-08,470,21253.4,Leslie
16474,SS3300,A802a,2022-02-08,99,1006.83,Leslie
16475,TM3521,A802a,2022-02-08,5464,55568.88,Leslie
16476,OF1425,A802a,2022-02-08,9750,99157.5,Róisín
16477,AM4609,JQ9322,2022-02-08,6358,158886.42,Harry
16478,QE1185,W8931,2022-02-08,5529,250021.38,Ravi
16479,SI4896,BC111d,2022-02-09,4992,315893.76,Ravi
16480,NS7598,A802a,2022-02-09,341,3467.97,Leslie
16481,AD1457,W8931,2022-02-09,62,2803.64,Róisín
16482,AH4803,A802a,2022-02-09,257,2613.69,Zuri
16483,OM8279,BC111d,2022-02-09,169,10694.32,Leslie
16484,SB9448,A802a,2022-02-09,294,2989.98,Zuri
16485,TS4266,A802a,2022-02-09,4102,41717.34,Zuri
16486,AI3651,BC111d,2022-02-09,15,949.2,Róisín
16487,OS6792,A802a,2022-02-10,6744,68586.48,Zuri
16488,QS2174,EE05x,2022-02-10,539,195667.78,Zuri
16489,MC7659,A802a,2022-02-10,3054,31059.18,Harry
16490,OF1425,BC111d,2022-02-10,4484,283747.52,Leslie
16491,OS8224,A802a,2022-02-10,553,5624.01,Róisín
16492,SS3300,A802a,2022-02-10,974,9905.58,Ravi
16493,NV2970,A802a,2022-02-11,409,4159.53,Zuri
16494,AM4609,A802a,2022-02-11,408,4149.36,Róisín
16495,DS7471,Q28R3,2022-02-11,5621,991150.93,Róisín
16496,NS7598,JQ9322,2022-02-11,438,10945.62,Zuri
16497,MC7659,A802a,2022-02-11,4793,48744.81,Ravi
16498,OI5050,W8931,2022-02-11,5162,233425.64,Leslie
16499,AI3651,BC111d,2022-02-11,1719,108778.32,Róisín
16500,AM4609,A802a,2022-02-11,7689,78197.13,Ravi
16501,TS4266,A802a,2022-02-14,4826,49080.42,Liam
16502,AI0569,JQ9322,2022-02-14,430,10745.7,Liam
16503,SC8893,JQ9322,2022-02-14,63,1574.37,Róisín
16504,SB9448,R9S10,2022-02-14,211,9248.13,Leslie
16505,MM9297,A802a,2022-02-14,2473,25150.41,Harry
16506,CI2071,BC111d,2022-02-14,2609,165097.52,Zuri
16507,SC9489,R9S10,2022-02-15,286,12535.38,Róisín
16508,OS9656,JQ9322,2022-02-15,7583,189499.17,Ravi
16509,CD7311,BC111d,2022-02-15,5339,337851.92,Ravi
16510,SS3300,A802a,2022-02-15,4177,42480.09,Ravi
16511,OM8279,A802a,2022-02-15,311,3162.87,Liam
16512,MC7659,W8931,2022-02-15,538,24328.36,Ravi
16513,SV2319,BC111d,2022-02-15,434,27463.52,Róisín
16514,MC7659,A802a,2022-02-16,311,3162.87,Róisín
16515,TM3521,W8931,2022-02-16,213,9631.86,Leslie
16516,MD4706,R9S10,2022-02-16,112,4908.96,Zuri
16517,OM8279,JQ9322,2022-02-16,2223,55552.77,Liam
16518,TM4374,A802a,2022-02-16,8622,87685.74,Ravi
16519,SV2319,A802a,2022-02-16,10370,105462.9,Róisín
16520,AI3651,W8931,2022-02-16,467,21117.74,Róisín
16521,AI3651,R9S10,2022-02-17,5823,255222.09,Liam
16522,OM8279,Q28R3,2022-02-17,5544,977573.52,Róisín
16523,AS7990,A802a,2022-02-17,283,2878.11,Leslie
16524,OS8224,A802a,2022-02-17,479,4871.43,Róisín
