orderid,customerid,productid,orderdate,quantity,orderamt,salesrep
16119,MR7651,W8931,2021-11-17,402,18178.44,Hannah
16120,CS8317,A802a,2021-11-17,381,3874.77,Gowoon
16121,SC7962,A802a,2021-11-17,374,3803.58,Shalini
16122,ZF8085,W8931,2021-11-17,427,19308.94,Ingrid
16123,TM0916,A802a,2021-11-17,418,4251.06,Ingrid
16124,TC0514,BC111d,2021-11-17,341,21578.48,Shalini
16125,NR3611,A802a,2021-11-17,373,3793.41,Ingrid
16126,CI4562,BC111d,2021-11-17,327,20692.56,Shalini
16127,SC3814,A802a,2021-11-17,407,4139.19,Gowoon
16128,NF7397,A802a,2021-11-17,409,4159.53,Ingrid
16129,SC7962,W8931,2021-11-17,425,19218.5,Ingrid
16130,QI5038,EE05x,2021-11-17,330,119796.6,Shalini
16131,CS5977,A802a,2021-11-17,398,4047.66,Sam
16132,CS8317,A802a,2021-11-17,395,4017.15,Ethan
16133,SS3811,BC111d,2021-11-17,348,22021.44,Shalini
16134,CS8317,W8931,2021-11-17,433,19580.26,Shalini
16135,MM0344,JQ9322,2021-11-17,572,14294.28,Shalini
16136,AM1674,JQ9322,2021-11-17,587,14669.13,Gowoon
16137,SS3811,W8931,2021-11-17,414,18721.08,Shalini
16138,MM0344,A802a,2021-11-18,419,4261.23,Shalini
16139,CI4562,W8931,2021-11-18,355,16053.1,Hannah
16140,QD2621,A802a,2021-11-18,377,3834.09,Shalini
16141,SC3814,A802a,2021-11-18,404,4108.68,Ingrid
16142,RV9064,R9S10,2021-11-18,442,19372.86,Hannah
16143,TC0514,W8931,2021-11-18,330,14922.6,Shalini
16144,NF7397,JQ9322,2021-11-18,245,6122.55,Ingrid
16145,CS5977,A802a,2021-11-18,448,4556.16,Sam
16146,SC3814,W8931,2021-11-18,325,14696.5,Ingrid
16147,TM0916,A802a,2021-11-18,435,4423.95,Ingrid
16148,SS3811,BC111d,2021-11-18,310,19616.8,Ethan
16149,ZD7787,JQ9322,2021-11-18,244,6097.56,Sam
16150,SC7962,BC111d,2021-11-18,346,21894.88,Hannah
16151,CS5977,A802a,2021-11-18,426,4332.42,Hannah
16152,NF9938,A802a,2021-11-18,429,4362.93,Ingrid
16153,TC0514,W8931,2021-11-18,359,16233.98,Gowoon
16154,CI4562,BC111d,2021-11-18,336,21262.08,Shalini
16155,TC0514,Q28R3,2021-11-18,334,58894.22,Ingrid
16156,QS1139,A802a,2021-11-18,432,4393.44,Sam
16157,NE6537,A802a,2021-11-18,408,4149.36,Gowoon
16158,NF9938,BC111d,2021-11-19,317,20059.76,Hannah
16159,SC7962,A802a,2021-11-19,366,3722.22,Hannah
16160,AM1674,A802a,2021-11-19,370,3762.9,Sam
16161,AS0053,BC111d,2021-11-19,353,22337.84,Gowoon
16162,NF7397,A802a,2021-11-19,394,4006.98,Ingrid
16163,RV9064,A802a,2021-11-19,406,4129.02,Ingrid
16164,NM1588,A802a,2021-11-19,381,3874.77,Shalini
16165,CI4562,BC111d,2021-11-19,346,21894.88,Shalini
16166,ZD7787,A802a,2021-11-19,406,4129.02,Gowoon
16167,AS8179,A802a,2021-11-19,384,3905.28,Ingrid
16168,CS5977,R9S10,2021-11-19,277,12140.91,Hannah
16169,MM0344,A802a,2021-11-19,376,3823.92,Shalini
16170,QI5038,A802a,2021-11-19,383,3895.11,Ingrid
16171,MM0344,R9S10,2021-11-19,264,11571.12,Hannah
16172,NF7397,W8931,2021-11-19,256,11576.32,Shalini
16173,QI5038,BC111d,2021-11-19,352,22274.56,Sam
16174,NR9560,Q28R3,2021-11-19,334,58894.22,Ingrid
16175,QS4506,A802a,2021-11-19,391,3976.47,Ingrid
16176,TM0916,A802a,2021-11-19,402,4088.34,Shalini
16177,AM1674,A802a,2021-11-19,401,4078.17,Ingrid
16178,QS1139,A802a,2021-11-19,406,4129.02,Ingrid
16179,SS3811,W8931,2021-11-20,343,15510.46,Ethan
16180,RV9064,A802a,2021-11-21,286,2908.62,Ingrid
16181,CS5977,R9S10,2021-11-22,236,10343.88,Sam
16182,NF7397,BC111d,2021-11-22,308,19490.24,Gowoon
16183,CI4562,Q28R3,2021-11-22,314,55367.62,Shalini
16184,NF7397,A802a,2021-11-22,253,2573.01,Ingrid
16185,SC3814,BC111d,2021-11-22,321,20312.88,Shalini
16186,QI5038,A802a,2021-11-22,281,2857.77,Sam
16187,NF7397,A802a,2021-11-22,260,2644.2,Ingrid
16188,ZD7787,A802a,2021-11-22,269,2735.73,Ethan
16189,CS6924,BC111d,2021-11-22,367,23223.76,Ingrid
16190,AS8179,W8931,2021-11-22,334,15103.48,Ingrid
16191,MR6252,A802a,2021-11-22,286,2908.62,Sam
16192,NR3611,EE05x,2021-11-22,325,117981.5,Shalini
16193,MM0344,Q28R3,2021-11-22,339,59775.87,Ingrid
16194,MM0344,A802a,2021-11-22,259,2634.03,Shalini
16195,SC9674,W8931,2021-11-22,335,15148.7,Ethan
16196,CS2504,A802a,2021-11-22,288,2928.96,Shalini
16197,QS4506,BC111d,2021-11-22,307,19426.96,Ingrid
16198,QS1139,A802a,2021-11-22,281,2857.77,Ingrid
16199,ZD7787,W8931,2021-11-22,347,15691.34,Shalini
16200,QI5038,BC111d,2021-11-22,329,20819.12,Ingrid
16201,QD2621,A802a,2021-11-22,252,2562.84,Hannah
16202,AM1674,A802a,2021-11-22,276,2806.92,Shalini
16203,CI9891,Q28R3,2021-11-22,332,58541.56,Sam
16204,RV9064,R9S10,2021-11-22,241,10563.03,Ingrid
16205,AS8179,JQ9322,2021-11-22,245,6122.55,Shalini
16206,MR6252,W8931,2021-11-22,373,16867.06,Shalini
16207,SC9674,A802a,2021-11-23,293,2979.81,Ingrid
16208,AM1674,A802a,2021-11-23,279,2837.43,Gowoon
16209,NF9938,A802a,2021-11-23,300,3051.0,Ingrid
16210,AS0053,A802a,2021-11-23,302,3071.34,Gowoon
16211,RS9813,A802a,2021-11-23,321,3264.57,Shalini
16212,SC3814,A802a,2021-11-23,311,3162.87,Sam
16213,SS3811,JQ9322,2021-11-23,128,3198.72,Shalini
16214,SC9674,A802a,2021-11-23,322,3274.74,Ingrid
16215,CS2504,JQ9322,2021-11-23,116,2898.84,Ingrid
16216,CI4562,W8931,2021-11-23,264,11938.08,Shalini
16217,NF7397,BC111d,2021-11-23,322,20376.16,Sam
16218,SC3814,W8931,2021-11-23,268,12118.96,Ingrid
16219,AM1674,A802a,2021-11-23,273,2776.41,Ingrid
16220,RS9813,W8931,2021-11-23,285,12887.7,Ethan
16221,NR3611,A802a,2021-11-23,293,2979.81,Ingrid
16222,SC7962,A802a,2021-11-23,272,2766.24,Hannah
16223,CS5977,BC111d,2021-11-23,321,20312.88,Sam
16224,RS9813,A802a,2021-11-23,302,3071.34,Shalini
16225,NR3611,R9S10,2021-11-23,443,19416.69,Ethan
16226,NF9938,A802a,2021-11-23,332,3376.44,Shalini
16227,AM1674,W8931,2021-11-24,404,18268.88,Sam
16228,NR3611,BC111d,2021-11-24,349,22084.72,Gowoon
16229,CS5977,A802a,2021-11-24,326,3315.42,Ingrid
16230,NR9560,BC111d,2021-11-24,299,18920.72,Ethan
16231,NF9938,BC111d,2021-11-24,346,21894.88,Ingrid
16232,MM0344,BC111d,2021-11-24,324,20502.72,Shalini
16233,MM0344,A802a,2021-11-24,338,3437.46,Hannah
16234,AS8179,Q28R3,2021-11-24,331,58365.23,Gowoon
16235,MR6252,Q28R3,2021-11-24,340,59952.2,Shalini
16236,QS4506,BC111d,2021-11-24,362,22907.36,Shalini
16237,CI4562,A802a,2021-11-24,350,3559.5,Shalini
16238,SC9674,W8931,2021-11-24,342,15465.24,Ingrid
16239,AM1674,A802a,2021-11-24,325,3305.25,Hannah
16240,RS9813,JQ9322,2021-11-24,400,9996.0,Ingrid
16241,AS0053,W8931,2021-11-24,337,15239.14,Gowoon
16242,NF7397,A802a,2021-11-24,345,3508.65,Ingrid
16243,RS9813,A802a,2021-11-24,382,3884.94,Ingrid
16244,TC0514,A802a,2021-11-24,349,3549.33,Sam
16245,CS2504,BC111d,2021-11-24,360,22780.8,Hannah
16246,QI5038,Q28R3,2021-11-24,333,58717.89,Ingrid
16247,MR7651,Q28R3,2021-11-24,319,56249.27,Ingrid
16248,MR6252,A802a,2021-11-24,327,3325.59,Hannah
16249,SC3814,JQ9322,2021-11-25,536,13394.64,Ingrid
16250,MM0344,BC111d,2021-11-25,382,24172.96,Hannah
16251,TM0916,W8931,2021-11-25,391,17681.02,Sam
16252,RV9064,A802a,2021-11-25,413,4200.21,Ingrid
16253,SC9674,BC111d,2021-11-25,323,20439.44,Ingrid
16254,ZD7787,A802a,2021-11-25,417,4240.89,Gowoon
16255,CS5977,A802a,2021-11-25,403,4098.51,Shalini
16256,CS6924,R9S10,2021-11-25,563,24676.29,Ingrid
16257,TM0916,W8931,2021-11-25,410,18540.2,Sam
16258,QI5038,BC111d,2021-11-25,327,20692.56,Ingrid
16259,AS0053,A802a,2021-11-25,406,4129.02,Gowoon
16260,MR7651,A802a,2021-11-25,383,3895.11,Shalini
16261,SC3814,W8931,2021-11-25,382,17274.04,Shalini
16262,CI4562,A802a,2021-11-25,365,3712.05,Shalini
16263,QS1139,A802a,2021-11-25,398,4047.66,Ingrid
16264,ZF8085,JQ9322,2021-11-25,612,15293.88,Ingrid
16265,CS2504,A802a,2021-11-26,415,4220.55,Gowoon
16266,NF9938,W8931,2021-11-26,338,15284.36,Ingrid
16267,QS1139,W8931,2021-11-26,345,15600.9,Shalini
16268,AS0053,JQ9322,2021-11-26,261,6522.39,Gowoon
16269,NM1588,A802a,2021-11-26,416,4230.72,Ingrid
16270,SV2287,BC111d,2021-11-26,332,21008.96,Hannah
16271,ZD7787,A802a,2021-11-26,440,4474.8,Gowoon
16272,TC0514,EE05x,2021-11-26,351,127420.02,Ingrid
16273,ZD7787,W8931,2021-11-26,372,16821.84,Gowoon
16274,AV1169,BC111d,2021-11-26,343,21705.04,Shalini
16275,AV1169,A802a,2021-11-26,382,3884.94,Shalini
16276,CS5977,A802a,2021-11-26,378,3844.26,Ingrid
16277,RS9813,A802a,2021-11-26,451,4586.67,Ingrid
16278,RS9813,R9S10,2021-11-26,488,21389.04,Ethan
16279,AM1674,BC111d,2021-11-26,336,21262.08,Shalini
16280,CI4562,W8931,2021-11-26,332,15013.04,Shalini
16281,CS8317,JQ9322,2021-11-26,263,6572.37,Ethan
16282,TM0916,W8931,2021-11-26,318,14379.96,Ingrid
16283,SC9674,W8931,2021-11-29,390,17635.8,Ingrid
16284,CS6924,JQ9322,2021-11-29,580,14494.2,Ethan
16285,CS8317,A802a,2021-11-29,286,2908.62,Ethan
16286,CS5977,BC111d,2021-11-29,338,21388.64,Sam
16287,ZF8085,W8931,2021-11-29,407,18404.54,Ingrid
16288,AS0053,A802a,2021-11-29,298,3030.66,Gowoon
16289,NE6537,A802a,2021-11-29,316,3213.72,Gowoon
16290,CI4562,JQ9322,2021-11-29,561,14019.39,Shalini
16291,CS2504,A802a,2021-11-29,302,3071.34,Ingrid
16292,SC9674,BC111d,2021-11-29,299,18920.72,Ingrid
16293,CI4562,W8931,2021-11-29,409,18494.98,Shalini
16294,TS1163,A802a,2021-11-29,276,2806.92,Shalini
16295,QS1139,Q28R3,2021-11-29,318,56072.94,Sam
16296,NR3611,A802a,2021-11-29,276,2806.92,Ingrid
16297,TS1163,W8931,2021-11-29,403,18223.66,Shalini
16298,QS1139,W8931,2021-11-29,433,19580.26,Sam
16299,QS1139,A802a,2021-11-29,268,2725.56,Gowoon
16300,TM0916,W8931,2021-11-29,411,18585.42,Sam
16301,MR7651,A802a,2021-11-29,282,2867.94,Ingrid
16302,TC0514,W8931,2021-11-29,403,18223.66,Hannah
16303,MR6252,JQ9322,2021-11-30,251,6272.49,Shalini
16304,NR3611,JQ9322,2021-11-30,245,6122.55,Ethan
16305,QD2621,JQ9322,2021-11-30,257,6422.43,Hannah
16306,CS8317,W8931,2021-11-30,339,15329.58,Ethan
16307,NM1588,BC111d,2021-11-30,324,20502.72,Shalini
16308,MM0344,A802a,2021-11-30,271,2756.07,Shalini
16309,RS9813,BC111d,2021-11-30,344,21768.32,Ingrid
16310,MM0344,A802a,2021-11-30,277,2817.09,Ingrid
16311,ZD7787,BC111d,2021-11-30,319,20186.32,Sam
16312,AM1674,W8931,2021-11-30,340,15374.8,Hannah
16313,CS8317,BC111d,2021-11-30,346,21894.88,Ethan
16314,AS7573,W8931,2021-11-30,389,17590.58,Ingrid
16315,SV2287,W8931,2021-11-30,375,16957.5,Ingrid
16316,TC0514,BC111d,2021-11-30,321,20312.88,Ingrid
16317,CI4562,A802a,2021-11-30,270,2745.9,Shalini
16318,CI4562,JQ9322,2021-11-30,217,5422.83,Hannah
16319,QI5038,BC111d,2021-11-30,327,20692.56,Gowoon
16320,ZD7787,JQ9322,2021-12-01,131,3273.69,Gowoon
16321,SC3814,A802a,2021-12-01,320,3254.4,Gowoon
16322,SC9674,W8931,2021-12-01,263,11892.86,Ingrid
16323,TC0514,W8931,2021-12-01,264,11938.08,Shalini
16324,AM1674,A802a,2021-12-01,261,2654.37,Ingrid
16325,AS0053,BC111d,2021-12-01,337,21325.36,Gowoon
16326,CS6924,BC111d,2021-12-01,318,20123.04,Ingrid
16327,CS5977,W8931,2021-12-01,266,12028.52,Sam
16328,NF7397,JQ9322,2021-12-01,121,3023.79,Ingrid
16329,SS3811,A802a,2021-12-01,300,3051.0,Shalini
16330,CS8317,R9S10,2021-12-01,393,17225.19,Ingrid
16331,TM0916,A802a,2021-12-01,273,2776.41,Sam
16332,ZD7787,BC111d,2021-12-01,383,24236.24,Shalini
16333,NM1588,A802a,2021-12-01,276,2806.92,Shalini
16334,CS5977,A802a,2021-12-01,280,2847.6,Shalini
16335,MR6252,A802a,2021-12-01,331,3366.27,Sam
16336,ZD7787,W8931,2021-12-01,323,14606.06,Gowoon
16337,SC7962,A802a,2021-12-01,281,2857.77,Hannah
16338,QS1139,W8931,2021-12-01,268,12118.96,Hannah
16339,SC7962,BC111d,2021-12-01,347,21958.16,Hannah
16340,CS6924,A802a,2021-12-01,330,3356.1,Ingrid
16341,CS5977,A802a,2021-12-01,282,2867.94,Sam
16342,QV5573,A802a,2021-12-01,295,3000.15,Shalini
16343,MR6252,A802a,2021-12-01,312,3173.04,Shalini
16344,QS1139,BC111d,2021-12-01,346,21894.88,Sam
16345,NF9938,A802a,2021-12-02,342,3478.14,Ingrid
16346,CS5977,A802a,2021-12-02,346,3518.82,Shalini
16347,QI5038,W8931,2021-12-02,319,14425.18,Ingrid
16348,SC7962,A802a,2021-12-02,347,3528.99,Hannah
16349,QS1139,A802a,2021-12-02,344,3498.48,Sam
16350,CS5977,A802a,2021-12-02,354,3600.18,Shalini
16351,CS5977,JQ9322,2021-12-02,435,10870.65,Ingrid
16352,CS6924,A802a,2021-12-02,360,3661.2,Hannah
16353,ZD7787,Q28R3,2021-12-02,365,64360.45,Sam
16354,ZD7787,W8931,2021-12-02,353,15962.66,Gowoon
16355,CI4562,W8931,2021-12-02,354,16007.88,Shalini
16356,CI4562,A802a,2021-12-02,350,3559.5,Shalini
16357,CS2504,JQ9322,2021-12-02,450,11245.5,Shalini
16358,NR3611,A802a,2021-12-02,335,3406.95,Ethan
16359,NF7397,A802a,2021-12-02,356,3620.52,Sam
16360,ZD7787,Q28R3,2021-12-02,343,60481.19,Shalini
16361,SS3811,A802a,2021-12-02,396,4027.32,Ethan
16362,CI4562,JQ9322,2021-12-02,490,12245.1,Shalini
16363,RS9813,Q28R3,2021-12-03,351,61891.83,Ingrid
16364,SC3814,BC111d,2021-12-03,322,20376.16,Shalini
16365,SC7962,W8931,2021-12-03,387,17500.14,Hannah
16366,TS1163,A802a,2021-12-03,423,4301.91,Hannah
16367,MM0344,Q28R3,2021-12-03,347,61186.51,Ingrid
16368,QI5038,A802a,2021-12-03,406,4129.02,Sam
16369,TC0514,W8931,2021-12-03,368,16640.96,Ingrid
16370,TC0514,A802a,2021-12-03,417,4240.89,Sam
16371,QS4506,EE05x,2021-12-03,351,127420.02,Hannah
16372,NF9938,A802a,2021-12-03,371,3773.07,Ingrid
16373,ZD7787,R9S10,2021-12-03,552,24194.16,Sam
16374,CS5977,A802a,2021-12-03,401,4078.17,Gowoon
16375,NF9938,Q28R3,2021-12-03,344,60657.52,Ingrid
16376,TM0916,A802a,2021-12-03,389,3956.13,Shalini
16377,TM0916,A802a,2021-12-03,393,3996.81,Sam
16378,AM1674,JQ9322,2021-12-06,446,11145.54,Gowoon
16379,AM1674,BC111d,2021-12-06,339,21451.92,Ingrid
16380,RS9813,Q28R3,2021-12-06,372,65594.76,Ethan
16381,CS8317,W8931,2021-12-06,300,13566.0,Gowoon
16382,CS5977,BC111d,2021-12-06,331,20945.68,Ingrid
16383,MR6252,A802a,2021-12-06,336,3417.12,Shalini
16384,QD2621,A802a,2021-12-06,342,3478.14,Hannah
16385,NM1588,BC111d,2021-12-06,329,20819.12,Hannah
16386,NF7397,BC111d,2021-12-06,302,19110.56,Ingrid
16387,SC9674,W8931,2021-12-06,355,16053.1,Ingrid
16388,AM1674,W8931,2021-12-06,383,17319.26,Sam
16389,NE6537,A802a,2021-12-06,306,3112.02,Ethan
16390,SS3811,BC111d,2021-12-06,358,22654.24,Ethan
16391,CS5977,BC111d,2021-12-06,330,20882.4,Sam
16392,QI5038,W8931,2021-12-06,346,15646.12,Sam
16393,QS1139,A802a,2021-12-06,313,3183.21,Sam
16394,TS1163,W8931,2021-12-06,341,15420.02,Shalini
16395,SS3811,A802a,2021-12-06,364,3701.88,Ethan
16396,CS2504,W8931,2021-12-06,361,16324.42,Shalini
16397,MM0344,A802a,2021-12-06,367,3732.39,Shalini
16398,CS6924,EE05x,2021-12-07,366,132865.32,Ingrid
16399,QI5038,A802a,2021-12-07,295,3000.15,Sam
16400,AM1674,W8931,2021-12-07,451,20394.22,Gowoon
16401,NF7397,A802a,2021-12-07,295,3000.15,Ingrid
16402,QI5038,A802a,2021-12-07,301,3061.17,Ingrid
16403,CS5977,A802a,2021-12-07,282,2867.94,Shalini
16404,ZD7787,A802a,2021-12-07,292,2969.64,Gowoon
16405,SC9674,A802a,2021-12-07,277,2817.09,Gowoon
16406,QS1139,BC111d,2021-12-07,355,22464.4,Ingrid
16407,CS5977,A802a,2021-12-07,268,2725.56,Sam
16408,SC7962,A802a,2021-12-07,304,3091.68,Hannah
16409,MM0344,W8931,2021-12-07,405,18314.1,Shalini
16410,TC0514,R9S10,2021-12-08,277,12140.91,Gowoon
16411,QS4506,Q28R3,2021-12-08,357,62949.81,Sam
16412,AR4386,BC111d,2021-12-08,371,23476.88,Ingrid
16413,TS1163,JQ9322,2021-12-08,239,5972.61,Shalini
16414,SC7962,BC111d,2021-12-08,308,19490.24,Hannah
16415,SC7962,W8931,2021-12-08,338,15284.36,Ingrid
16416,CS5977,W8931,2021-12-08,312,14108.64,Ingrid
16417,SC7962,Q28R3,2021-12-08,335,59070.55,Shalini
16418,TC0514,JQ9322,2021-12-08,249,6222.51,Sam
16419,NM1588,A802a,2021-12-08,284,2888.28,Hannah
16420,QS4506,W8931,2021-12-08,322,14560.84,Ingrid
16421,QS1139,BC111d,2021-12-08,315,19933.2,Ingrid
16422,CS5977,A802a,2021-12-08,275,2796.75,Gowoon
16423,MR7651,W8931,2021-12-08,311,14063.42,Sam
16424,MR7651,W8931,2021-12-08,322,14560.84,Ingrid
16425,SC7962,W8931,2021-12-08,345,15600.9,Hannah
16426,SC7962,R9S10,2021-12-08,280,12272.4,Ingrid
16427,LM6201,A802a,2021-12-08,284,2888.28,Shalini
16428,CI4562,EE05x,2021-12-08,296,107453.92,Shalini
16429,NF9938,A802a,2021-12-08,280,2847.6,Ethan
16430,CI4562,Q28R3,2021-12-08,343,60481.19,Hannah
16431,AV1169,A802a,2021-12-08,281,2857.77,Shalini
16432,SC9674,BC111d,2021-12-08,368,23287.04,Ingrid
16433,RV9064,JQ9322,2021-12-08,202,5047.98,Hannah
16434,AM1674,BC111d,2021-12-08,324,20502.72,Shalini
16435,RS9813,A802a,2021-12-09,312,3173.04,Shalini
16436,TC0514,A802a,2021-12-09,273,2776.41,Hannah
16437,QD2621,W8931,2021-12-09,301,13611.22,Hannah
16438,QS4506,JQ9322,2021-12-09,134,3348.66,Ingrid
16439,NE6537,W8931,2021-12-09,290,13113.8,Shalini
16440,MR6252,Q28R3,2021-12-09,330,58188.9,Shalini
16441,SS3811,A802a,2021-12-09,321,3264.57,Ethan
16442,NM1588,A802a,2021-12-09,320,3254.4,Shalini
16443,CS6924,BC111d,2021-12-09,341,21578.48,Gowoon
16444,CS5977,A802a,2021-12-09,305,3101.85,Ingrid
16445,RS9813,A802a,2021-12-09,307,3122.19,Gowoon
16446,SS3811,JQ9322,2021-12-09,127,3173.73,Ethan
16447,QS1139,BC111d,2021-12-09,332,21008.96,Ingrid
16448,CS2504,A802a,2021-12-09,299,3040.83,Ethan
16449,SC7962,W8931,2021-12-09,283,12797.26,Ingrid
16450,CI4562,W8931,2021-12-09,290,13113.8,Shalini
16451,QS4506,JQ9322,2021-12-10,428,10695.72,Sam
16452,TS1163,EE05x,2021-12-10,339,123063.78,Shalini
16453,CS5977,A802a,2021-12-10,382,3884.94,Shalini
16454,NF7397,A802a,2021-12-10,337,3427.29,Ingrid
16455,TC0514,A802a,2021-12-10,335,3406.95,Gowoon
16456,CS2504,JQ9322,2021-12-10,463,11570.37,Ingrid
16457,TC0514,W8931,2021-12-10,366,16550.52,Sam
16458,TC0514,W8931,2021-12-10,349,15781.78,Sam
16459,CS5977,BC111d,2021-12-10,360,22780.8,Shalini
16460,TC0514,BC111d,2021-12-10,351,22211.28,Sam
16461,TC0514,BC111d,2021-12-10,351,22211.28,Ingrid
16462,QS1139,A802a,2021-12-10,363,3691.71,Sam
16463,MM0344,A802a,2021-12-10,400,4068.0,Shalini
16464,SC7962,JQ9322,2021-12-10,456,11395.44,Hannah
16465,QS4506,A802a,2021-12-10,311,3162.87,Gowoon
16466,CS5977,A802a,2021-12-10,385,3915.45,Ingrid
16467,NF9938,W8931,2021-12-10,340,15374.8,Gowoon
16468,QI5038,R9S10,2021-12-10,570,24983.1,Sam
16469,QS1139,A802a,2021-12-10,379,3854.43,Gowoon
16470,SC7962,BC111d,2021-12-10,307,19426.96,Shalini
16471,NM1588,A802a,2021-12-10,326,3315.42,Hannah
16472,NR3611,W8931,2021-12-10,317,14334.74,Ingrid
16473,NE6537,W8931,2021-12-11,395,17861.9,Gowoon
16474,TC0514,BC111d,2021-12-12,342,21641.76,Sam
16475,QS1139,BC111d,2021-12-12,344,21768.32,Hannah
16476,LM6201,A802a,2021-12-13,386,3925.62,Sam
16477,LM6201,A802a,2021-12-13,349,3549.33,Shalini
16478,SS3811,A802a,2021-12-13,336,3417.12,Shalini
16479,RV9064,W8931,2021-12-13,274,12390.28,Shalini
16480,MM0344,A802a,2021-12-13,370,3762.9,Shalini
16481,CS8317,A802a,2021-12-13,398,4047.66,Shalini
16482,CI4562,BC111d,2021-12-13,347,21958.16,Shalini
16483,RV9064,A802a,2021-12-13,383,3895.11,Sam
16484,SC3814,Q28R3,2021-12-13,356,62773.48,Shalini
16485,QI5038,BC111d,2021-12-13,338,21388.64,Shalini
16486,TC0514,BC111d,2021-12-13,344,21768.32,Ingrid
16487,CS2504,W8931,2021-12-13,263,11892.86,Ingrid
16488,SC9674,BC111d,2021-12-13,331,20945.68,Ethan
16489,QI5038,BC111d,2021-12-13,337,21325.36,Ingrid
16490,CI4562,A802a,2021-12-13,398,4047.66,Shalini
16491,CS8317,Q28R3,2021-12-13,340,59952.2,Shalini
16492,AM1674,R9S10,2021-12-14,118,5171.94,Shalini
16493,NF9938,A802a,2021-12-14,325,3305.25,Ingrid
16494,CS2504,A802a,2021-12-14,328,3335.76,Ingrid
16495,CS8317,BC111d,2021-12-14,356,22527.68,Ethan
16496,MR6252,A802a,2021-12-14,291,2959.47,Shalini
16497,RV9064,W8931,2021-12-14,323,14606.06,Ingrid
16498,CS5977,A802a,2021-12-14,300,3051.0,Shalini
16499,SC7962,A802a,2021-12-14,289,2939.13,Hannah
16500,CS6924,W8931,2021-12-14,337,15239.14,Gowoon
16501,CS2504,A802a,2021-12-14,345,3508.65,Ethan
16502,NR3611,W8931,2021-12-14,345,15600.9,Gowoon
16503,CS5977,A802a,2021-12-14,333,3386.61,Ingrid
16504,QI5038,W8931,2021-12-14,371,16776.62,Sam
16505,TC0514,A802a,2021-12-14,354,3600.18,Shalini
16506,QS1139,A802a,2021-12-14,328,3335.76,Sam
16507,CS8317,BC111d,2021-12-14,367,23223.76,Shalini
16508,RS9813,W8931,2021-12-14,353,15962.66,Ethan
16509,NF9938,A802a,2021-12-14,314,3193.38,Ingrid
16510,QS1139,BC111d,2021-12-14,321,20312.88,Ingrid
16511,CI4562,JQ9322,2021-12-14,419,10470.81,Hannah
16512,SC9674,A802a,2021-12-14,313,3183.21,Shalini
16513,CI4562,A802a,2021-12-15,279,2837.43,Hannah
16514,SC7962,W8931,2021-12-15,435,19670.7,Ingrid
16515,QS4506,A802a,2021-12-15,313,3183.21,Ingrid
16516,QS1139,A802a,2021-12-15,262,2664.54,Ingrid
16517,SC3814,A802a,2021-12-15,291,2959.47,Ingrid
16518,RS9813,JQ9322,2021-12-15,517,12919.83,Ingrid
16519,TM0916,A802a,2021-12-15,293,2979.81,Ingrid
16520,TS1163,A802a,2021-12-15,283,2878.11,Hannah
16521,SC3814,W8931,2021-12-15,365,16505.3,Ingrid
16522,NF7397,A802a,2021-12-15,300,3051.0,Shalini
16523,TC0514,Q28R3,2021-12-15,329,58012.57,Sam
16524,RS9813,A802a,2021-12-15,277,2817.09,Ingrid
16525,CS8317,W8931,2021-12-15,392,17726.24,Ethan
